dataset,target_model,method,method_variant,backend,n_counterfactuals,seed_n,primary_coverage_mean,primary_coverage_std,primary_coverage_n,primary_validity_returned_class_mean,primary_validity_returned_class_std,primary_validity_returned_class_n,primary_validity_returned_threshold_mean,primary_validity_returned_threshold_std,primary_validity_returned_threshold_n,proximity_grouped_gower_mean,proximity_grouped_gower_std,proximity_grouped_gower_n,action_unit_sparsity_mean_mean,action_unit_sparsity_mean_std,action_unit_sparsity_mean_n
german_credit,retained_mlp,nice,default,,1,5,0.9416666666666667,0.0,5,1.0,0.0,5,0.0,0.0,5,0.0873780420748479,0.0,5,1.6725663716814156,2.482534153247273e-16,5
german_credit,retained_xgboost,nice,default,,1,5,0.9916666666666668,1.2412670766236366e-16,5,1.0,0.0,5,0.2773109243697479,0.0,5,0.060332256531476024,0.0,5,1.6302521008403361,0.0,5
german_credit,retained_logistic_regression,wachter,default,,1,5,0.9916666666666668,1.2412670766236366e-16,5,1.0,0.0,5,0.0,0.0,5,0.05455109009521936,0.0,5,1.4285714285714286,0.0,5
german_credit,retained_mlp,wachter,default,,1,5,0.8416666666666666,1.2412670766236366e-16,5,1.0,0.0,5,0.0,0.0,5,0.06279591601719602,0.0,5,1.316831683168317,0.0,5
german_credit,retained_xgboost,wachter,default,,1,5,0.9916666666666668,1.2412670766236366e-16,5,1.0,0.0,5,0.15126050420168066,0.0,5,0.02511976004099751,0.0,5,0.8823529411764707,1.2412670766236366e-16,5
give_me_some_credit,retained_logistic_regression,countercontex,default,tabicl,1,5,1.0,0.0,5,1.0,0.0,5,0.244,0.0,5,0.08155294333873944,0.0,5,1.024,0.0,5
give_me_some_credit,retained_mlp,countercontex,default,tabicl,1,5,1.0,0.0,5,1.0,0.0,5,0.476,0.0,5,0.09195835844424989,0.0,5,1.072,0.0,5
give_me_some_credit,retained_xgboost,countercontex,default,tabicl,1,5,0.9960000000000001,1.2412670766236366e-16,5,1.0,0.0,5,0.05220883534136546,0.0,5,0.021805088457477247,0.0,5,0.25301204819277107,0.0,5
give_me_some_credit,retained_logistic_regression,dice,default,,1,5,0.9968,0.0033466401061363047,5,1.0,0.0,5,0.29294659930042755,0.018351045501588153,5,0.10419570435506187,0.0011817727989951183,5,1.0633963984972146,0.005852932049375397,5
give_me_some_credit,retained_mlp,dice,default,,1,5,0.9984,0.002190890230020666,5,1.0,0.0,5,0.29567550200803216,0.014905857809016855,5,0.10588073266121978,0.0008269152413033262,5,1.074528514056225,0.007395576386455705,5
give_me_some_credit,retained_xgboost,dice,default,,1,5,0.9984,0.002190890230020666,5,1.0,0.0,5,0.0849413654618474,0.010047281651410235,5,0.052490392326477064,0.0014530249505979808,5,0.5496674698795181,0.01793834306363098,5
give_me_some_credit,retained_logistic_regression,face,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.012,0.0,5,0.06671498319597362,0.0,5,1.964,0.0,5
give_me_some_credit,retained_mlp,face,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.10400000000000001,1.5515838457795457e-17,5,0.07812410225849152,0.0,5,2.004,0.0,5
